student_id,age,gender,study_hours_per_week,attendance_percentage,previous_grade,extracurricular,sleep_hours,math_score,science_score,english_score,final_grade,passed
1,18,Male,15,92,85,Yes,7,88,85,82,85,Yes
2,19,Female,20,95,90,Yes,6,92,90,88,90,Yes
3,18,Male,10,78,70,No,8,65,68,70,67.7,Yes
4,20,Female,25,98,88,Yes,5,95,93,91,93,Yes
5,19,Male,8,65,55,No,9,52,55,58,55,No
6,18,Female,18,88,82,Yes,7,85,82,80,82.3,Yes
7,19,Male,12,85,75,No,7,75,78,72,75,Yes
8,20,Female,22,96,92,Yes,6,90,88,85,87.7,Yes
9,18,Male,5,55,48,No,10,45,42,48,45,No
10,19,Female,16,90,80,Yes,7,82,80,78,80,Yes
11,18,Male,14,82,78,No,6,78,75,73,75.3,Yes
12,20,Female,19,94,86,Yes,7,88,86,84,86,Yes
13,19,Male,11,76,68,No,8,68,70,65,67.7,Yes
14,18,Female,23,97,90,Yes,5,94,92,90,92,Yes
15,19,Male,7,62,52,No,9,50,52,55,52.3,No
16,20,Female,17,89,83,Yes,7,84,82,80,82,Yes
17,18,Male,13,80,72,No,7,72,74,70,72,Yes
18,19,Female,21,95,89,Yes,6,91,89,87,89,Yes
19,18,Male,9,70,60,No,8,58,60,62,60,Yes
20,20,Female,24,99,94,Yes,6,96,94,92,94,Yes
21,19,Male,6,58,50,No,10,48,45,50,47.7,No
22,18,Female,15,86,80,Yes,7,80,78,76,78,Yes
23,19,Male,12,84,74,No,7,74,76,72,74,Yes
24,20,Female,20,93,88,Yes,6,89,87,85,87,Yes
25,18,Male,8,68,58,No,8,55,58,60,57.7,No
26,19,Female,18,91,84,Yes,7,86,84,82,84,Yes
27,20,Male,16,87,79,Yes,7,80,78,76,78,Yes
28,18,Female,22,96,91,Yes,6,92,90,88,90,Yes
29,19,Male,10,72,65,No,8,62,65,68,65,Yes
30,20,Female,25,98,93,Yes,5,95,93,91,93,Yes
31,18,Male,4,52,45,No,11,42,40,45,42.3,No
32,19,Female,17,89,82,Yes,7,83,81,79,81,Yes
33,18,Male,11,78,70,No,7,70,72,68,70,Yes
34,20,Female,21,94,89,Yes,6,90,88,86,88,Yes
35,19,Male,9,66,56,No,9,54,56,58,56,No
36,18,Female,19,92,85,Yes,7,87,85,83,85,Yes
37,19,Male,14,83,76,No,7,76,78,74,76,Yes
38,20,Female,23,97,92,Yes,6,93,91,89,91,Yes
39,18,Male,7,64,54,No,9,52,54,56,54,No
40,19,Female,16,88,81,Yes,7,82,80,78,80,Yes
41,18,Male,13,81,73,No,7,73,75,71,73,Yes
42,20,Female,22,95,90,Yes,6,91,89,87,89,Yes
43,19,Male,8,69,59,No,8,57,59,61,59,No
44,18,Female,18,90,83,Yes,7,84,82,80,82,Yes
45,19,Male,12,79,71,No,7,71,73,69,71,Yes
46,20,Female,24,98,93,Yes,6,94,92,90,92,Yes
47,18,Male,6,60,51,No,10,49,47,51,49,No
48,19,Female,17,89,82,Yes,7,83,81,79,81,Yes
49,18,Male,11,77,69,No,8,69,71,67,69,Yes
50,20,Female,20,93,88,Yes,6,89,87,85,87,Yes
51,19,Male,15,85,77,Yes,7,78,76,74,76,Yes
52,18,Female,19,91,84,Yes,7,85,83,81,83,Yes
53,19,Male,10,73,64,No,8,62,64,66,64,Yes
54,20,Female,23,96,91,Yes,6,92,90,88,90,Yes
55,18,Male,5,56,47,No,10,44,46,48,46,No
56,19,Female,16,87,80,Yes,7,81,79,77,79,Yes
57,18,Male,13,82,74,No,7,74,76,72,74,Yes
58,20,Female,21,94,89,Yes,6,90,88,86,88,Yes
59,19,Male,9,67,57,No,9,55,57,59,57,No
60,18,Female,18,90,83,Yes,7,84,82,80,82,Yes
61,19,Male,14,84,75,No,7,75,77,73,75,Yes
62,20,Female,22,95,90,Yes,6,91,89,87,89,Yes
63,18,Male,8,68,58,No,8,56,58,60,58,No
64,19,Female,17,89,82,Yes,7,83,81,79,81,Yes
65,18,Male,12,80,72,No,7,72,74,70,72,Yes
66,20,Female,24,97,92,Yes,6,93,91,89,91,Yes
67,19,Male,7,63,53,No,9,51,53,55,53,No
68,18,Female,16,88,81,Yes,7,82,80,78,80,Yes
69,19,Male,11,76,68,No,8,68,70,66,68,Yes
70,20,Female,20,93,88,Yes,6,89,87,85,87,Yes
71,18,Male,15,86,78,Yes,7,79,77,75,77,Yes
72,19,Female,19,91,84,Yes,7,85,83,81,83,Yes
73,18,Male,10,74,65,No,8,63,65,67,65,Yes
74,20,Female,23,96,91,Yes,6,92,90,88,90,Yes
75,19,Male,6,59,49,No,10,47,49,51,49,No
76,18,Female,17,89,82,Yes,7,83,81,79,81,Yes
77,19,Male,13,81,73,No,7,73,75,71,73,Yes
78,20,Female,21,94,89,Yes,6,90,88,86,88,Yes
79,18,Male,9,69,59,No,8,57,59,61,59,No
80,19,Female,18,90,83,Yes,7,84,82,80,82,Yes
81,19,Male,14,83,75,No,7,75,77,73,75,Yes
82,20,Female,22,95,90,Yes,6,91,89,87,89,Yes
